Model,Accuracy,Precision Class 0,Recall Class 0,F1-score Class 0,Precision Class 1,Recall Class 1,F1-score Class 1,Precision Class 2,Recall Class 2,F1-score Class 2,Precision Class 3,Recall Class 3,F1-score Class 3,Precision Class 4,Recall Class 4,F1-score Class 4
Logistic Regression,0.562962962962963,0.7322834645669292,0.9029126213592233,0.808695652173913,0.4375,0.3088235294117647,0.3620689655172414,0.34285714285714286,0.23529411764705882,0.27906976744186046,0.4107142857142857,0.6388888888888888,0.5,0.75,0.25,0.375
Logistic Regression2,0.6074074074074074,0.7238805970149254,0.941747572815534,0.8185654008438819,0.54,0.39705882352941174,0.4576271186440678,0.40625,0.2549019607843137,0.3132530120481928,0.45652173913043476,0.5833333333333334,0.5121951219512195,0.75,0.5,0.6
